Path,Pitch,PercentSilence,FrequencyMagnitude
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/bo/cow_1.wav,"[39.106922, 33.68673, 31.319576, 50.04304, 59.5495, 10.097233, 43.289795]","[21.959183673469383, 25.088435374149668, 22.294784580498856, 58.48526077097505, 79.74603174603175, 56.16780045351474, 23.75034832840025]","[(2756, 855.516493928642), (22292, 29.736863135549225), (58915, 9.236594291352585), (68101, 7.135805601741599), (95435, 9.236594291352585), (132058, 29.73686313554922), (151594, 855.5164939286421)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/bo/cow_2.wav,"[36.622864, 20.94379, 54.76426, 44.551636, 20.628311, 30.614603, 42.381027]","[92.82539682539682, 58.94784580498866, 97.22448979591837, 75.42857142857143, 53.383219954648524, 90.70748299319727, 25.282820035034092]","[(1993, 938.7057302740454), (22051, 48.227413163877216), (62193, 7.759921383781529), (87881, 7.952355032213828), (92157, 7.759921383781503), (132299, 48.2274131638772), (152357, 938.7057302740454)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/bo/cow_3.wav,"[38.78839, 58.90996, 13.677528, 42.902176, 12.367409, 32.381878, 44.86408]","[69.60544217687075, 48.585034013605444, 52.68027210884354, 74.71655328798185, 34.55328798185941, 35.47845804988661, 22.020531931969657]","[(2539, 852.3358019898117), (25320, 10.185767667434828), (65991, 3.0074967033125604), (67873, 4.479636106564469), (88359, 3.0074967033125644), (129030, 10.185767667434835), (151811, 852.3358019898117)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/bo/cow_4.wav,"[36.309032, 59.35985, 20.094841, 45.814472, 23.94182, 31.934406, 21.141754]","[32.535147392290256, 54.49433106575964, 51.98639455782313, 67.62358276643991, 34.163265306122454, 21.03854875283446, 74.43915111751882]","[(2539, 849.5859628688846), (22655, 10.914820285579621), (64246, 2.8001933930140672), (68815, 4.493888351645891), (90104, 2.800193393014082), (131695, 10.91482028557964), (151811, 849.5859628688846)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/bo/cow_5.wav,"[57.53258, 31.12793, 27.220789, 32.39542, 49.128437, 32.741344, 59.2549]","[70.35374149659864, 52.843537414965986, 94.5079365079365, 69.80952380952381, 72.43990929705215, 20.553287981859413, 31.129462695195656]","[(1929, 994.5075582459352), (22066, 33.32862430026522), (62434, 7.255102852666837), (68928, 8.382646449565158), (91916, 7.2551028526668535), (132284, 33.32862430026521), (152421, 994.5075582459352)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/bo/cow_6.wav,"[37.44237, 35.05309, 35.22013, 29.93117, 55.40483, 38.258736, 37.734894]","[41.5374149659864, 69.46031746031747, 22.648526077097515, 32.83900226757369, 85.96371882086169, 55.188208616780045, 23.289370197834117]","[(5669, 361.33228882540345), (22233, 31.914264531970687), (58868, 8.675192722005685), (86482, 8.714265577412926), (95482, 8.675192722005692), (132117, 31.91426453197068), (148681, 361.33228882540345)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/bo/cow_7.wav,"[32.082603, 22.970785, 58.350258, 42.324894, 22.670189, 33.12863, 36.9995]","[61.10204081632653, 69.20181405895691, 86.72108843537416, 81.05668934240363, 54.10430839002267, 76.85714285714286, 25.652556785716683]","[(1993, 944.7671461900163), (22051, 50.47040829705741), (62382, 8.0804679869887), (85465, 7.836790965359246), (91968, 8.080467986988685), (132299, 50.4704082970574), (152357, 944.7671461900163)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/bo/cow_8.wav,"[35.08789, 58.68675, 16.33315, 39.108974, 17.906185, 32.071053, 36.54981]","[33.029478458049894, 50.761904761904766, 51.605442176870746, 59.3968253968254, 57.33333333333333, 19.691609977324262, 21.445472939816213]","[(2539, 852.1028959357459), (25187, 10.270220896734706), (62413, 3.111307507571044), (67871, 4.509226584205625), (91937, 3.1113075075710546), (129163, 10.27022089673471), (151811, 852.1028959357458)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/bo/cow_9.wav,"[46.74635, 50.1764, 33.006344, 17.562346, 34.29373, 27.847109, 46.534077]","[68.54421768707483, 51.08843537414966, 51.70068027210885, 74.74829931972789, 63.96825396825397, 19.88662131519274, 76.92568592798872]","[(2539, 847.3844366391972), (22655, 11.360225563330328), (62909, 2.9474648912107573), (68983, 4.920273881368534), (91441, 2.9474648912107386), (131695, 11.360225563330353), (151811, 847.3844366391972)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/chim/bird_1.wav,"[83.31254, 114.57721, 114.99978, 116.14838, 114.33354, 113.88918, 96.42656]","[36.78911564625851, 53.678004535147394, 50.285714285714285, 47.73696145124716, 50.34920634920635, 49.50113378684807, 47.412431706049105]","[(21779, 8.52725768057435), (43379, 381.57788932730483), (52752, 255.14238429734402), (66218, 1.166085334054145), (101598, 255.14238429734402), (110971, 381.57788932730483), (132571, 8.527257680574351)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/cho/dog_1.wav,"[80.61643, 60.45031, 86.27496, 77.65954, 80.85645, 62.637672, 71.789055]","[49.27891156462585, 58.50340136054422, 53.523809523809526, 56.90702947845805, 50.93424036281179, 53.61451247165533, 49.03227493853638]","[(3598, 468.7943018412709), (22067, 34.09585605852405), (62256, 59.117264514217), (70628, 45.2550419157776), (92094, 59.11726451421699), (132283, 34.09585605852405), (150752, 468.7943018412709)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/cho/dog_10.wav,"[1.3447481, 67.71272, 69.93245, 66.60439, 67.60302, 74.75722, 45.08919]","[17.151927437641717, 59.72789115646259, 57.25170068027211, 51.65079365079365, 51.614512471655324, 52.90249433106576, 62.74245305443309]","[(2520, 540.1472199303953), (22443, 5.067400052339335), (45373, 0.7183983762417495), (82418, 0.15289059088982423), (108977, 0.7183983762417508), (131907, 5.067400052339336), (151830, 540.1472199303953)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/cho/dog_2.wav,"[43.207188, 49.8942, 48.831657, 49.97323, 43.5732, 30.85745, 20.539104]","[81.56462585034014, 59.8140589569161, 87.71882086167801, 39.77777777777778, 21.58730158730158, 15.083900226757379, 47.934085513974736]","[(2992, 898.4306920077909), (33807, 13.295414648357283), (45120, 9.958231085435155), (88171, 3.0483700440333372), (109230, 9.958231085435154), (120543, 13.295414648357273), (151358, 898.4306920077909)]"
